english,description,translation,status,translator_note,placeholders,entry_id,row_id,kind,previous_translation,source_locations,source_revision
Keyboard and controller focus-visible states render correctly while pointer focus hides the keyboard-only ring; complete controls remain unasserted.,User-facing product copy in the Chess UI sample.,Keyboard and controller focus-visible states render correctly while pointer focus hides the keyboard-only ring; complete controls remain unasserted.,translated,,,tx1_p6eqt5m4hqmrntskegiakemsgy,row1_wsy5pkiwbo2qvu5gytmjxsn7sa,message,,rules/src/pages.rs:89:30,rev1_52882d5dea587ee25d4082a0ca6970fcdbe36264fcbeabcc75be80c9f9158dc6
ToggleControl accessibility,User-facing product copy in the Chess UI sample.,ToggleControl accessibility,translated,,,tx1_pj3ddxgrr7iaix4ulvfliym73m,row1_drqcg22jyfxhok3sidg3ye3oje,message,,rules/src/pages.rs:93:24,rev1_afcdeb98f7d9182ba0eb0515a2e12db7819d85790ef3247f5b89f0c4b8552c2c
"ToggleControl exposes labeled checkbox semantics and help description; effects, help modal, and composition remain unasserted.",User-facing product copy in the Chess UI sample.,"ToggleControl exposes labeled checkbox semantics and help description; effects, help modal, and composition remain unasserted.",translated,,,tx1_yqqlytj67qdnkfcpqsxoz2b6c4,row1_e5gpyiryigvnrmq2wavclc37iq,message,,rules/src/pages.rs:94:30,rev1_0f9a48db6509d83f202a3473461215541d7c26fdebc7fdb8f2dc4f9bcc471198
SelectControl pointer popover,User-facing product copy in the Chess UI sample.,SelectControl pointer popover,translated,,,tx1_aapoc3wykr4dulbz7rvtt5zfpy,row1_53fp4fjtlkycnhsdnrjesvngka,message,,rules/src/pages.rs:98:24,rev1_7e11cfd6189b21eaf94047b27f4c1e5d1005dcc2815811208ee9be5e6b777536
"SelectControl opens one anchored listbox, selects options, and dismisses outside; keyboard behavior remains unasserted.",User-facing product copy in the Chess UI sample.,"SelectControl opens one anchored listbox, selects options, and dismisses outside; keyboard behavior remains unasserted.",translated,,,tx1_qqbuhitwmtxau2rdwslv767eiy,row1_x5pqcplos6ut5krnipmjfb4nna,message,,rules/src/pages.rs:99:30,rev1_c7f3b1c3c6d548e79cee274328da9a372cd9f6c417e37cfa960ef38cd886f333
SelectControl keyboard and controller behavior,User-facing product copy in the Chess UI sample.,SelectControl keyboard and controller behavior,translated,,,tx1_vuqslmbgolefvdvsgj5nxpppo4,row1_5iut6aiicdayn7lzwpmocwexey,message,,rules/src/pages.rs:103:24,rev1_f167b008a5d810ff84c6635b9f84d4167ac6a3eda7b344ca31c6bfd929224cc2
"SelectControl supports arrows, Home, End, typeahead, Escape, restoration, and listbox semantics through handlers and queued ref focus; animation remains unasserted.",User-facing product copy in the Chess UI sample.,"SelectControl supports arrows, Home, End, typeahead, Escape, restoration, and listbox semantics through handlers and queued ref focus; animation remains unasserted.",translated,,,tx1_us4cyehjqgmjqxwsegfbuxx4va,row1_tj6y4mu5d26jklp5sgos7kfyky,message,,rules/src/pages.rs:104:30,rev1_4ceefedc825f37f38cdf2f2a4937557855f3945bee7933f708184b2a04b62253
VolumeControl input,User-facing product copy in the Chess UI sample.,VolumeControl input,translated,,,tx1_dlyyv2s3ty6vh57lxb55gyo24a,row1_l22dvtsfjcdi7w4t3x5gvut5da,message,,rules/src/pages.rs:108:24,rev1_316b51a36168debb9ef858bc8a6faae7982d8d6f2aa6409887e207fa8fd624dc
"VolumeControl supports drag, keyboard steps, endpoints, pages, and controller input; release effects remain unasserted.",User-facing product copy in the Chess UI sample.,"VolumeControl supports drag, keyboard steps, endpoints, pages, and controller input; release effects remain unasserted.",translated,,,tx1_tchmph6iof73dw6kees3kdeeea,row1_vgojdelrparo2r4li2cpx5ix6a,message,,rules/src/pages.rs:109:30,rev1_78f71db232543638eb5cf6c5ea4911820e5db456848651c9ebf4486a8db81ffd
SettingsTabs navigation,User-facing product copy in the Chess UI sample.,SettingsTabs navigation,translated,,,tx1_dkia2vfp44uruj5eal7hdugani,row1_s7gcfq6vx2r22fwtctyqjrn6zu,message,,rules/src/pages.rs:113:24,rev1_ddc353a9d42de05b1e115460b986f7b90710a5dc0f1f45539b6e96d0de90abc6
SettingsTabs preserves four Tab stops and adds arrow and controller selection through handlers and ref focus; panel animation remains unasserted.,User-facing product copy in the Chess UI sample.,SettingsTabs preserves four Tab stops and adds arrow and controller selection through handlers and ref focus; panel animation remains unasserted.,translated,,,tx1_eypxzaquvzeab66korkxuz6s34,row1_wv5o7q3uarr5gp6342pvxrxtby,message,,rules/src/pages.rs:114:30,rev1_05dbe0ea8241031ac1bf3664172327609e19f2337fe1c5567918ecc1fdd5444b
ArcadeModal behavior,User-facing product copy in the Chess UI sample.,ArcadeModal behavior,translated,,,tx1_rkaxv5zaxwbbrm4bkyyr4vdapy,row1_rgasfbzap3ggzr6ord3x6e4bh4,message,,rules/src/pages.rs:118:24,rev1_c2c35164bbe533e8110e7f57dde285df08b473bb74fed3955992eaefae21d012
"ArcadeModal traps focus, dismisses safely, restores its opener, and exposes dialog semantics on its modal wrapper; animation remains unasserted.",User-facing product copy in the Chess UI sample.,"ArcadeModal traps focus, dismisses safely, restores its opener, and exposes dialog semantics on its modal wrapper; animation remains unasserted.",translated,,,tx1_2qtu6x4ku2rvpasdiepngx2bom,row1_2pdxcylury666y6xibzwn44jfm,message,,rules/src/pages.rs:119:30,rev1_e650239b566bcbf8eea4b4a6a88a5da63f73d35c5900d6dac58cf4aa12dbbcc5
InfoBadge and Privacy Policy,User-facing product copy in the Chess UI sample.,InfoBadge and Privacy Policy,translated,,,tx1_ltl4pnziklshvu3g63x47bie3u,row1_6cg72l3odj5rllfzqpw4eptaci,message,,rules/src/pages.rs:123:24,rev1_931d0fe9dbc235e2cc67c4cbe327828ef5545ed11d5e58ac61a1012f5a771314
InfoBadge opens accessible crash-report help and activates Privacy Policy; data erasure remains absent.,User-facing product copy in the Chess UI sample.,InfoBadge opens accessible crash-report help and activates Privacy Policy; data erasure remains absent.,translated,,,tx1_vju6qoptfnoynk4kdcghhs5nwu,row1_xir37oqn5kgzmacrz6svmkfuhe,message,,rules/src/pages.rs:124:30,rev1_718ebd84da032ad5656b3c3530110d22cf2b0af8253bce9fb2235edc53749658
Input settings table,User-facing product copy in the Chess UI sample.,Input settings table,translated,,,tx1_3osr2pomzzytrfxgfifzsv353y,row1_kbcl6whhtvxbwegzm2om7tqf2a,message,,rules/src/pages.rs:128:24,rev1_c0fb3222175abf1daa75bdab97f97c2d4186f68d44a4aa8cc3e5b80937876b5a
"InputSettings scrolls bindings beneath a sticky header; rebinding, conflicts, and visual icons remain unasserted.",User-facing product copy in the Chess UI sample.,"InputSettings scrolls bindings beneath a sticky header; rebinding, conflicts, and visual icons remain unasserted.",translated,,,tx1_hfsq3lzrumv5wv2vyaxorjokqi,row1_w55mdicujwxr4qgv4iaoc5ej5e,message,,rules/src/pages.rs:129:30,rev1_bcac23398b0909ab3f8b3985f3ed21f6aa04697a2723a34a5dbf93f13b7c7631
Keyboard rebinding,User-facing product copy in the Chess UI sample.,Keyboard rebinding,translated,,,tx1_oek36deqpg4kimdkuqi2tgukvi,row1_rmjnpbmt7sy5bfqbtclpio6gum,message,,rules/src/pages.rs:133:24,rev1_8c5b505345b3100a1017303220a1bc7f22a801201f8eaf0330153f93d712082a
"InputSettings captures keyboard bindings, rejects conflicts, resets defaults, and announces status; icons and controller rebinding are not asserted.",User-facing product copy in the Chess UI sample.,"InputSettings captures keyboard bindings, rejects conflicts, resets defaults, and announces status; icons and controller rebinding are not asserted.",translated,,,tx1_w7yswoj6y7vrvtpzrt375tbyuy,row1_5pwrpfsbw2h2zn2lfqfcf25n24,message,,rules/src/pages.rs:134:30,rev1_ece1422ce4ea6583ec3002895756e9d8e72b171fb0d15fd2150fbf843b134d0d
FontScale,User-facing product copy in the Chess UI sample.,FontScale,translated,,,tx1_dfp7mhk5lxjb6kdw7tpktbinjy,row1_6l6k2zob5ubz64tgekyxksxt6u,message,,rules/src/pages.rs:138:24,rev1_611d20df15fee91b5f2c507781aa549a214022ab9b9d176033e71d6d09eb1ce3
FontScale reflows rows and scales text and controls; persistence and complete screens remain unasserted.,User-facing product copy in the Chess UI sample.,FontScale reflows rows and scales text and controls; persistence and complete screens remain unasserted.,translated,,,tx1_hxyyi5w2534eaxb3jygxdguwfm,row1_ur5wvsnp6f5ayoapbv66znvhmy,message,,rules/src/pages.rs:139:30,rev1_ddaa8a5b42df2590e5dd0751c4343a5231f2d6bb697772a964f06125d31fa820
Generated control skin,User-facing product copy in the Chess UI sample.,Generated control skin,translated,,,tx1_7jratxo66z5mzgxeogac6gp3bi,row1_yutcqutfykxhmrazgveuasjfgu,message,,rules/src/pages.rs:143:24,rev1_3877404bd7f316e28dfc79bc03863b25f2f4ffc7750c98128a5372cf6c46c390
"Generated assets skin controls and labels; interaction behavior, dynamic effects, and screen composition are not asserted.",User-facing product copy in the Chess UI sample.,"Generated assets skin controls and labels; interaction behavior, dynamic effects, and screen composition are not asserted.",translated,,,tx1_jdt5wzau2uzmggzlyvofjlecmu,row1_ffxl3mi6cffpfacaxzzwmxyvlm,message,,rules/src/pages.rs:144:30,rev1_53f8636f51a14eafa29b246842cf50688e083a8ae41a89528ac0727f1d623f72
Input icons and settings panel skin,User-facing product copy in the Chess UI sample.,Input icons and settings panel skin,translated,,,tx1_itrhm3avqsvmdwdgzuuvdtednm,row1_ddcornvlvqengwxvr6xgpshdzq,message,,rules/src/pages.rs:148:24,rev1_6c2abf5be7fa8723f6e72f415d54eba52652a47e9180e49c8bbb2e79d8ad7c7d
InputBindingIcons and the settings panel render precisely; rebinding behavior and full composition remain unasserted.,User-facing product copy in the Chess UI sample.,InputBindingIcons and the settings panel render precisely; rebinding behavior and full composition remain unasserted.,translated,,,tx1_vxvimi3zawdwvpz3q3ot7krgrq,row1_qxbtf7z3pmmlhsagangoyio6ty,message,,rules/src/pages.rs:149:30,rev1_9edb470625956d8a2fb208c92f21402cf25132094ca007d86331e4a22135d0db
Control shine and release bursts,User-facing product copy in the Chess UI sample.,Control shine and release bursts,translated,,,tx1_23cuehvu45jpbzl4lhctq6csbe,row1_73p3icufk4cbhl5aado56bk5lu,message,,rules/src/pages.rs:153:24,rev1_da8e045af7a237deadecaf93bee934828f984ea96649f3c8404bb0c33ab95486
"Buttons, checkboxes, and sliders play shine and keyed release bursts; ambient and route effects remain unasserted.",User-facing product copy in the Chess UI sample.,"Buttons, checkboxes, and sliders play shine and keyed release bursts; ambient and route effects remain unasserted.",translated,,,tx1_blnlc7nsiigf57iunnrra6bo3q,row1_ccmvu76ci5oqobhywobibjg2em,message,,rules/src/pages.rs:154:30,rev1_d9faad0943e48f4c1d92e5ec4a0a38b940f063b9c39b5a327637bf3bb16d6376
Dropdown animation,User-facing product copy in the Chess UI sample.,Dropdown animation,translated,,,tx1_4rd4bjhzzzsf3mrt2bxxrgq2rm,row1_pylkbjwfi2q2d72djwljmwmykq,message,,rules/src/pages.rs:158:24,rev1_3b9bbbe324f805222ef444dabe22ae4354080ba63546e7b6208159770d2f91c9
"Dropdown and options animate presence, stagger, selection flash, and interruption; settings composition remains unasserted.",User-facing product copy in the Chess UI sample.,"Dropdown and options animate presence, stagger, selection flash, and interruption; settings composition remains unasserted.",translated,,,tx1_czfxgnl3st6jbcbkkrnokugep4,row1_wkbanepuvmbnd7axqvnpxjb67y,message,,rules/src/pages.rs:159:30,rev1_34260752a69d8ea2149ce02879b7834048fecf1d611e6d10352203d4ac6e5739
ArcadeTabTransition,User-facing product copy in the Chess UI sample.,ArcadeTabTransition,translated,,,tx1_oepp5bfcwjbsvoulu2bg64gi6q,row1_xkivv73dpiuomxusmm7np3tfse,message,,rules/src/pages.rs:163:24,rev1_15d4392390dabb34491e66b3fb8b6bca3da06c8d215bf532b98c52eef285a997
"ArcadeTabTransition enters, exits, and sweeps by direction; complete tab contents and routing remain unasserted.",User-facing product copy in the Chess UI sample.,"ArcadeTabTransition enters, exits, and sweeps by direction; complete tab contents and routing remain unasserted.",translated,,,tx1_ut5wmlt25xvq25e6s65abc72uq,row1_36vd3xdl7ednm4krka2stjc5yi,message,,rules/src/pages.rs:164:30,rev1_70b5af8b5b4688581effa1c5d7f4c7d0c1a3b1989a774295620167405ab59b66
ArcadeModal animation,User-facing product copy in the Chess UI sample.,ArcadeModal animation,translated,,,tx1_bilt6lzszypud6kpnssnjxgo2i,row1_d5j4libehvju665m6gviwgm45y,message,,rules/src/pages.rs:168:24,rev1_aa49ae95eb93e546bb8b7b5d75d240cb77062840a3dc3a7a33184eaf5d3f22ef
"ArcadeModal animates backdrop, panel, and shine with reduced-motion alternatives; screen composition remains unasserted.",User-facing product copy in the Chess UI sample.,"ArcadeModal animates backdrop, panel, and shine with reduced-motion alternatives; screen composition remains unasserted.",translated,,,tx1_4u4ry7lr5a4h5oksnatx4ben7q,row1_jb23udhlc2sptctm6csvjxhyma,message,,rules/src/pages.rs:169:30,rev1_2d3ea33344b23147d721b99a9ec3dbb14a90c589521e4ae577ff666b5d2a7491
ArcadeAttractMode,User-facing product copy in the Chess UI sample.,ArcadeAttractMode,translated,,,tx1_6opjd5u3a5hz46esglcx5arnza,row1_wdcidvdjplxuw73onig5nltqci,message,,rules/src/pages.rs:173:24,rev1_ed27d838e0aeaa9ce019fe51f486607ca5b264a65f9f64d4d9424b5c5d1b4d89
ArcadeAttractMode animates seeded grid and particles deterministically; menu controls and audio remain unasserted.,User-facing product copy in the Chess UI sample.,ArcadeAttractMode animates seeded grid and particles deterministically; menu controls and audio remain unasserted.,translated,,,tx1_ubyifesgumq6zin6qr73ljd3qy,row1_gwasmvcpza6obuf7uhntkpyo6i,message,,rules/src/pages.rs:174:30,rev1_8c382b356c04c1fef92026cd9f4e84d15b5b0eccdf15b7fbd24ff97f0f1b39a3
ArcadeFramePulse,User-facing product copy in the Chess UI sample.,ArcadeFramePulse,translated,,,tx1_hik2jt53ujtryxcegbk3le4p34,row1_kfdfxb3biigfnontcvjsntp5vq,message,,rules/src/pages.rs:178:24,rev1_72afb9f83bd1014eb55beb9bbf366a818466e6a69f600688288d4addff4d9f9d
ArcadeFramePulse animates border comets around the restored Return cutout; exits and route effects remain unasserted.,User-facing product copy in the Chess UI sample.,ArcadeFramePulse animates border comets around the restored Return cutout; exits and route effects remain unasserted.,translated,,,tx1_x3gja3chcpdcqezx7vj3qkdmfi,row1_yfzqjgso3g3wzexuecbuple25a,message,,rules/src/pages.rs:179:30,rev1_09f6e5fecd7c17a52186876beabb5eb71eb35f8e189d0f235304a8be5e8790a3
BackgroundMusicProvider,User-facing product copy in the Chess UI sample.,BackgroundMusicProvider,translated,,,tx1_jp3fv3wveiwm4iq3uceq7mynza,row1_confbu6p5guxh2tycy6z6fsq34,message,,rules/src/pages.rs:183:24,rev1_c5bdb0993dd5721aaa95820eca7c12faf60e2a50c787865b9d5a141fa07eaff1
"BackgroundMusic loops audio, applies effective volume and background mute, and exposes playback context; heartbeat remains unasserted.",User-facing product copy in the Chess UI sample.,"BackgroundMusic loops audio, applies effective volume and background mute, and exposes playback context; heartbeat remains unasserted.",translated,,,tx1_2owtbngjaejji35hooslqffe4m,row1_tbfiebktbe5hjbg3qqqcoi3mri,message,,rules/src/pages.rs:184:30,rev1_25260c8c75e468141d6a6ee85f01274ce1460b727f32d96b1e6ddb5a2e461b61
Music indicator and heartbeat,User-facing product copy in the Chess UI sample.,Music indicator and heartbeat,translated,,,tx1_ab4qpy3ctrz3hn5bpm5kdqaw2e,row1_one3ckmjtif4ehshzleph62eou,message,,rules/src/pages.rs:188:24,rev1_8d8c224dfa2a510bba7c3729a7594e9d053da938a1a58c57809cc84611764bd4
